Time,Country,"Core CPI,not seas.adj,,,","Core CPI / CPI, not seas. adj.","CPI Price, seas. adj.,,,",CPI seasonal / CPI not seasonal,"CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","Core CPI / CPI, seas. adj.",Core CPI Seasonal / Core CPI Not Seasonal,"CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$, Billions","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,",Industrial Production % of GDP,"Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,, (USD to EURO)","Retail Sales Volume,Index,,,"
2003Q2 [2003Q2],Germany,..,,..,,..,..,,,..,625057.4448,..,..,..,..,,150964.2493,151000.1186,183910.2533,-0.052708761849147745,0.052708761849147745,184850,..,..,..
2003Q2 [2003Q2],India,..,,..,,..,..,,,..,139045.4909,..,..,..,..,,17661.12278,17666,650.2432078,0.12234038991191769,-0.12234038991191769,630.92,..,..,..
2003Q2 [2003Q2],Italy,..,,..,,..,..,,,..,394301.0022,..,..,..,..,,160.1807463,161.1857761,72845,-0.1843384085968727,0.1843384085968727,73357,..,..,..
2003Q2 [2003Q2],Japan,..,,..,,..,..,,,..,1088297.314,..,..,..,..,,93786.11897,92663.84721,113898,-0.018480134767657804,0.018480134767657804,112513,..,..,..
2003Q2 [2003Q2],United Kingdom,..,,..,,..,..,,,..,504155.6973,..,..,..,..,,231.4653945,128199,45891.83985,-0.090568002504055,0.090568002504055,46660,..,..,..
2003Q2 [2003Q2],United States,..,,..,,..,..,,,..,2828200,..,..,..,..,,308528.7679,309895.3,177469,0.04634034647478961,-0.04634034647478961,180715.9,..,..,..
2003Q3 [2003Q3],Brazil,..,,..,,..,..,,,..,148424.492,..,..,..,..,,11744.48697,12379,18104.6922,-0.042851453586245064,0.042851453586245064,19772,..,..,..
2003Q3 [2003Q3],Canada,..,,..,,..,..,,,..,227985.3676,..,..,..,..,,98.65575797,79233,70434.4,-0.3085099056244432,0.3085099056244432,70.11318639,..,..,..
2003Q3 [2003Q3],China,..,,..,,..,..,,,..,420171.4065,..,..,..,..,,106166.7,112718.5953,110980.7025,-0.011457234893969404,0.011457234893969404,117404,..,..,..
2003Q3 [2003Q3],France,..,,..,,..,..,,,..,461156.0295,..,..,..,..,,152.0412,86297,104814.9113,-0.22695760958276703,0.22695760958276703,97598.93169,..,..,..
