Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton
2669,2017M03 [2017M03],United Kingdom,117.1789617,116.2454367,2.352076108,116.6214076,116.6848841,110.5355064,129965.417,4.5,40113338810,46006366626,51.49051165,,28176.20956,27878.77778,0.810090999,0.810090999,92.14274197,1.219819618272177,-21.283211226452735
2670,2017M03 [2017M03],United States,114.178094,112.0618149,2.408084373,113.7155367,112.5129796,198.8596121,120170.9297,4.4,2.72622E11,2.73828E11,193219.8446,194066.1,126740.3,135977,1.0,1.0,130.3515582,11.821731279161865,726.1603385330907
2671,2017M04 [2017M04],Brazil,157.3493155,158.4991648,4.162302242,157.1751528,158.8187697,53.25554314,374945,12.94997468,36492633365,37241377421,11702.39728,10717,17825.9063,17680,3.13865,3.13865,90.90898447,0.1085297569154242,-1.2507674225142724
2672,2017M04 [2017M04],Canada,112.1863799,112.3488774,1.720093823,111.4183764,113.2927889,104.0611087,84709.86896,6.5,21405647840,20647037067,52.54,,35177.9,36.45883136,1.344625,1.344625,95.63029844,-1.950626580327667,-0.960031384935864
2673,2017M04 [2017M04],China,113.1838074,121.1134802,1.24102377,113.1466696,120.5340485,100.3176761,3051933.749,3.961839779,4.37357E11,4.23889E11,142776.9641,141375.8825,186537.3724,177763,6.89085,6.89085,,,-0.3814854893980083
2674,2017M04 [2017M04],France,108.5331906,107.4526898,1.181299429,107.4787234,108.19532,107.7298471,55314.46574,9.218518519,30495304749,29957768995,37.426,44204,41631.19764,42207.01168,6.121275,0.933044024,98.59991798,-1.0874034473533447,-0.7048490070120726
2675,2017M04 [2017M04],Germany,110.4893594,109.7087379,1.497005988,109.8871574,110.2925244,156.7978325,65011.85591,3.998509187,91064927465,93692015286,88975.22011,88724.64525,107692.9852,107982,1.8251,0.933044024,92.60259099,-0.6815428003912497,-4.007566978626502
2676,2017M04 [2017M04],India,,160.2405,2.91931505,,159.2952612,122.4855347,373302,8.5,54912027618,50828235017,39834.84228,38834.65,1648.843474,1585.52,64.519775,64.519775,,,3.2507394100588627
2677,2017M04 [2017M04],Italy,112.7192982,109.7686334,1.903149847,109.4929881,109.978308,65.67637779,51765.06677,10.94536295,38222752134,38926128153,61.84232245,65.37665796,39599,36493,1806.92425,0.933044024,74.59283597,8.078892530077589,3.0319433575401757
2678,2017M04 [2017M04],Japan,101.0070493,103.5123967,0.400801603,100.3006012,103.8302277,145.4708707,1212203.291,2.745951417,1.40389E11,1.44122E11,55634.42757,53189.86818,57798,57500,110.01975,110.01975,82.51542026,0.346549519795852,-1.4913256232158776
