,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","GDP,constant 2010 US$,millions,seas. adj.,","Exports Merchandise, Customs, Price, US$, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,"
0,2015Q3 [2015Q3],China,..,..,..,..,..,..,17382007.84,2755247.597,..,..,..,..,..,..,0.949862799,1.023176228,410408.4519,425819.2544,449213.351,400876.7022,2163837.845,1.229078043,17349122.74,565668.9268,1.156579381,594245,460324.6332,514018.0489,..,..,..
0,2015Q3 [2015Q3],France,..,..,..,..,..,..,551112,614463.78,..,..,..,..,..,..,0.790613351,0.769371755,143.0317,132716,167865.0385,185.9402784,723145.1522,0.914354667,544066,139122.9035,0.913571931,134367.9927,152157.0623,147088.6134,..,..,..
0,2015Q3 [2015Q3],Germany,..,..,..,..,..,..,760570,847999.5303,..,..,..,..,..,..,0.821641115,0.822031493,265762.5568,265563.6334,323212.8562,323298.7743,968007.564,0.839022626,758030,332177.5058,0.838650722,333479,395994.9604,397701.6153,..,..,..
0,2015Q3 [2015Q3],India,..,..,..,..,..,..,33997020,523296.2385,..,..,..,..,..,..,0.909932007,0.909932007,101926.0695,102390.25,112174.2602,111701.1678,539724.1586,..,28136930,4334.785292,..,4334.13,..,..,..,..,..
0,2015Q3 [2015Q3],Italy,..,..,..,..,..,..,415066,462778.933,..,..,..,..,..,..,0.879009272,0.877622961,173.1902309,173.5848725,197.3958425,197.3292898,536697.6276,0.947082995,413929,112943,0.944136476,111071,119253.5452,117603.3417,..,..,..
0,2015Q3 [2015Q3],Japan,..,..,..,..,..,..,133230200,1091480.097,..,..,..,..,..,..,0.846679639,0.830476571,160526.8589,163074.7847,192619.2699,193296.7742,1462023.365,0.816881642,129377800,156230,0.81977042,155217,191255.6669,189348.6075,..,..,..
0,2015Q3 [2015Q3],United Kingdom,..,..,..,..,..,..,481209,746817.6152,..,..,..,..,..,..,0.812629099,0.971836079,219.9136623,155839,191779.2902,226.3107361,689520.0297,0.942907539,490478,70948.50861,0.82495324,68726,75252.12033,83322.32791,..,..,..
0,2015Q3 [2015Q3],United States,..,..,..,..,..,..,4586200,4586200,..,..,..,..,..,..,0.980937252,0.96221006,564314.731,575197.8,586418.8346,586531.212,4169362.79,1.016361578,4365800,374023.6,1.022093344,371916.9,368008.0794,363905.4983,..,..,..
0,2015Q4 [2015Q4],Brazil,..,..,..,..,..,..,1516609.604,394630.7969,..,..,..,..,..,..,0.982709751,0.966026177,37258.62144,37228,37864.03572,38556.90424,540817.444,0.84520277,292550,47044.41792,0.862051668,46565,55718.08328,54095.46026,..,..,..
0,2015Q4 [2015Q4],Canada,..,..,..,..,..,..,497920,372910.035,..,..,..,..,..,..,0.962790201,0.962261425,133.018,113296,117697.5541,138.2879865,444346.2565,0.820993849,484821.5,98036.2,0.819634515,101.7240756,119417.892,124.115561,..,..,..
0,2015Q4 [2015Q4],China,..,..,..,..,..,..,17626446.72,2757663.487,..,..,..,..,..,..,0.880515287,0.987058687,411814.4943,435252.7367,497321.5686,417709.4356,2198989.9,1.209360032,17630963.33,566069.6615,1.172763769,611918,468439.5479,521915.1352,..,..,..
0,2015Q4 [2015Q4],France,..,..,..,..,..,..,552804,604927.1089,..,..,..,..,..,..,0.756673408,0.744850898,137.725,140164,185145.2122,184.8950874,723942.642,0.885116383,544666,135682.9128,0.883848338,140378.3078,153319.4284,158694.3293,..,..,..
