,Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton,US Stock Market to Stock Market,US Unemployment as leading/trailing
60,60,1990M11 [1990M11],France,,72.71954072,3.47495184,74.33628319,72.98856715,36.44572008,40398.22147,7.603703704,,,20447.0,15456.26707,21276.07047,16373.12033,5.000181818,0.71059984,,,-2.929670657234404,0.8158376930094694,1.0004873294736842
61,61,1990M11 [1990M11],Germany,,69.0399137,3.05958132,71.94860814,68.79739978,,73010.65169,5.052039994,,,37755.36302,39629.89917,37310.42932,39286.0,1.485318182,0.71059984,108.5651532,1.9389077620326187,,,0.6647421044736843
62,62,1990M11 [1990M11],Japan,96.17321249,95.71267064,3.945958784,,95.96273292,155.1911601,75758.27611,2.071097119,,,22116.66461,23353.46068,26703.0,25555.0,129.1127273,129.1127273,67.11384785,-1.0950492161772691,2.28174321361017,3.473955179196097,0.2725127788157895
63,63,1990M11 [1990M11],United Kingdom,,65.11329494,7.910489797,,65.46887098,44.23627093,36520.81613,7.5,,,37409.50027,17015.0,17232.0,15809.0,0.508988355,0.508988355,,,-0.4920686275688032,0.9902292270163607,0.986842105263158
64,64,1990M11 [1990M11],United States,62.79363522,61.47465607,6.195393169,62.54730707,61.74805134,24.0522221,87137.19486,6.2,,,42766.75093,43795.9,33581.1,33267.0,1.0,1.0,57.981545,-0.7104425644229423,-1.0134629771099988,0.5384091560474767,0.8157894736842106
65,65,1990M12 [1990M12],Canada,71.86379928,69.07729467,4.973919923,,69.41789748,24.94899996,17894.18116,9.5,,,10014.2,11834.0,10617.3,12627.0,1.160333333,1.160333333,,,-1.4747891545006122,0.5584835345708923,1.25
66,66,1990M12 [1990M12],France,,72.71954072,3.278501599,74.54450807,72.93514264,36.52226915,40977.59913,7.581481481,,,20119.0,14963.93621,19646.11274,15692.29542,5.097,0.719584015,,,-3.5797875405383426,0.8175512444644477,0.9975633527631579
67,67,1990M12 [1990M12],Germany,,69.0399137,2.564102564,72.26980728,68.79739978,,73915.24312,5.085693602,,,34001.01037,34613.05348,34353.70618,34876.0,1.500428571,0.719584015,108.118383,3.7918903402562503,,,0.6691702107894737
68,68,1990M12 [1990M12],Japan,96.37462236,95.83870659,3.680089499,,95.85921325,151.6111513,76144.78769,1.98537802,,,22081.8959,22394.0839,25840.0,27760.0,133.9847619,133.9847619,68.24449578,-1.2084165145819408,2.598344137888979,3.3938166577473643,0.26123395
69,69,1990M12 [1990M12],United Kingdom,,65.22433193,7.464585534,,65.35501207,44.67275831,36632.185,7.6,,,34333.82986,16638.0,16288.0,15257.0,0.520740042,0.520740042,,,-0.5305444368063547,,1.688932122924008
